isbn,title,author,description,loc,publisher,year,class,Course_name_eng,Course_description_thai,Course_description_eng,url
9749433521,การโปรแกรมภาษาซี : C Programming,พนิดา พานิชกุล,เนื้อหาในหนังสือ “การโปรแกรมภาษาซี” เล่มนี้ เหมาะสำหรับ ผู้สนใจทั่วไป ที่มีความรู้พื้นฐานด้านการเขียนโปรแกรม โดยนำเสนอเนื้อหาแต่ละหัวข้อด้วยโปรแกรมตัวอย่าง ส่วนการอธิบายโปรแกรมจะเน้นส่วนสำคัญของโปรแกรมแต่ละส่วน ที่จะช่วยให้ผู้สนใจสามารถศึกษาและลงมือปฏิบัติสามารถเข้าใจหลักการทำงานของภาษาซีได้ง่ายขึ้น,บทที่ 1 ทำความรู้จักกับภาษาซีบทที่ 2 ชนิดข้อมูล ตัวดำเนินการ และนิพจน์บทที่ 3 ประโยคคำสั่ง ควบคุม บทที่ 4 ฟังก์ชันและโครงสร้างของโปรแกรมบทที่ 5 พอยน์เตอร์และอะเรย์บทที่ 6 สตรัคเจอร์บทที่ 7 การรับและแสดงผลข้อมูลภาคผนวก ก คู่มืออ้างอิงภาคผนวก ข ไลบรารีมาตรฐานภาคผนวก ค การติดตั้งโปรแกรม Turbo C,สำนักพิมพ์เคทีพี,2006,คอมพิวเตอร์และ การโปรแกรม,Computer and Programming,โครงสร้างและหน้าที่ของส่วนประกอบต่างๆ ของคอมพิวเตอร์ การปฏิสัมพันธ์ระหว่าง ฮาร์ดแวร์และซอฟต์แวร์ ลักษณะของตัวแปลภาษาการแก้ปัญหาด้วยโปรแกรมคอมพิวเตอร์ ขั้นตอนการ ออกแบบและพัฒนา โปรแกรมด้วยภาษาระดับสูง การสร้างและ การเรียกใช้ฟังก์ชัน การประมวลผล แฟ้มข้อมูล การทดสอบและ การแก้ไขข้อผิดพลาดในโปรแกรม,"Computer structure and components, hardware and software interaction; programming compiler and translator, problems solving by computer programming; process of designing and developing applications with high-level language programming;  creating and calling functions;data processing; testing and correcting error in program.",https://images-se-ed.com/ws/Storage/Originals/974943/352/9749433521L.jpg
9786160821525,อัลกอริทึมและ การเขียนโปรแกรมภาษา C,โอภาส เอี่ยมสิริวงศ์,"""อัลกอริทึมและ การเขียนโปรแกรมภาษา C"" เล่มนี้ เหมาะสำหรับ เป็นหนังสือประกอบ การเรียนในวิชาที่เกี่ยวข้องกับ ""อัลกอริทึมและหลักการเขียนโปรแกรม"" หรือวิชา ""การโปรแกรมคอมพิวเตอร์ 1"" โดยได้ถ่ายทอดเนื้อหาด้านอัลกอริทึมและหลักการเขียนโปรแกรมภาษา C ซึ่งจัดเป็นภาษาที่ได้รับ การยอมรับว่าเป็นภาษาที่มีโครงสร้างการเขียนที่ดี และความรู้ที่ได้ยังสามารถนำไปใช้เป็นพื้นฐานการเรียนรู้ภาษาอื่นๆ ต่อไป เช่น   C++, C# และ Java โดยในเล่มได้อธิบายเนื้อหาอย่างละเอียด พร้อมภาพตัวอย่างประกอบช่วยใหเข้าใจได้ง่าย นอกจากใช้ประกอบ การเรียนแล้ว ยังเหมาะกับ บุคคลทั่วไปที่ต้องการเรียนรู้การเขียนโปรแกรมภาษา C ด้วยตนเองอีกด้วย",บทที่ 1 พื้นฐานการออกแบบโปรแกรม (Fundamental of Program Design)บทที่ 2 การพัฒนา อัลกอริทึม (Developing an algorithm)บทที่ 3 พื้นฐานความรู้เกี่ยวกับภาษา C (Fundamental of C Language)บทที่ 4 การจัดรูปแบบ การป้อนข้อมูลและ การแสดงผล (Formatted Input and Output)บทที่ 5 โครงสร้าง ควบคุม  การตัดสินใจ (The Decision Control Structure)บทที่ 6 โครงสร้างการทำงานเป็นรอบ (The Loop Control Structure)บทที่ 7 กรณีศึกษา ตอนที่ 1บทที่ 8 พอยน์เตอร์และ อาร์เรย์  (Pointers and Arrays)บทที่ 9 ฟังก์ชัน (Functions)บทที่ 10 กรณีศึกษา ตอนที่ 2บทที่ 11 ข้อมูลชนิดโครงสร้าง (Structuring Data)บทที่ 12 การประมวลผลแฟ้มข้อมูล (File Processing)บทที่ 13 กรณีศึกษา ตอนที่ 3,บริษัท ซีเอ็ดยูเคชั่น จำกัด (มหาชน),2014,คอมพิวเตอร์และ การโปรแกรม,Computer and Programming,โครงสร้างและหน้าที่ของส่วนประกอบต่างๆ ของคอมพิวเตอร์ การปฏิสัมพันธ์ระหว่าง ฮาร์ดแวร์และซอฟต์แวร์ ลักษณะของตัวแปลภาษาการแก้ปัญหาด้วยโปรแกรมคอมพิวเตอร์ ขั้นตอนการ ออกแบบและพัฒนา โปรแกรมด้วยภาษาระดับสูง การสร้างและ การเรียกใช้ฟังก์ชัน การประมวลผล แฟ้มข้อมูล การทดสอบและ การแก้ไขข้อผิดพลาดในโปรแกรม,"Computer structure and components, hardware and software interaction; programming compiler and translator, problems solving by computer programming; process of designing and developing applications with high-level language programming;  creating and calling functions;data processing; testing and correcting error in program.",https://images-se-ed.com/ws/Storage/Originals/978616/082/9786160821525L.jpg
9789742129491,การเขียนโปรแกรมด้วยภาษา C (Programming with C),โอภาส เอี่ยมสิริวงศ์,หนังสือที่จะพาคุณไปรู้จักกับ การเขียนโปรแกรมด้วยภาษา C อย่างละเอียด เริ่มตั้งแต่พื้นฐานภาษา C และ การติดตั้งใช้งาน ชนิดข้อมูลและตัวดำเนินการ การรับและแสดงผลข้อมูล คำสั่ง ควบคุม  ฟังก์ชันและพรีโปรเซสเซอร์ การจัดการข้อมูลสตริง ตลอดจนการประมวลผลแฟ้มข้อมูล ในเล่มได้อธิบายเนื้อหาอย่างเป็นลำดับขั้น เข้าใจง่าย พร้อมมีตัวอย่างโปรแกรมที่น่าสนใจกว่า 180 โปรแกรม รวมทั้งแบบทดสอบพร้อมเฉลยซอร์สโค้ด เหมาะอย่างยิ่งในการนำไปใช้ประกอบ การเรียนและ การสอน ในสาขาวิชาคอมพิวเตอร์ในระดับอุดมศึกษา รวมถึงผู้สนใจทั่วไป,บทที่ 1 พื้นฐานภาษา C และ การติดตั้งใช้งาน (The Basics of C and How to Setup)บทที่ 2 ชนิดข้อมูลและตัวดำเนินการ (Data Types and Operator)บทที่ 3 การรับและแสดงผลข้อมูล (Data Input and Output)บทที่ 4 คำสั่ง ควบคุม  (Control-Flow Statement)บทที่ 5 ฟังก์ชันและพรีโปรเซสเซอร์ (Functions and The C Preprocessor)บทที่ 6 พอยน์เตอร์และ อาร์เรย์  (Pointers and Arrays)บทที่ 7 การจัดการข้อมูลสตริง (Manipulating Strings)บทที่ 8 ข้อมูลชนิดโครงสร้าง (Structuring Data)บทที่ 9 การประมวลผลแฟ้มข้อมูลในภาษา C (C File Processing)ภาคผนวก ก. ตารางรหัสแอสกี (ASCII Code Table)ภาคผนวก ข. เฉลยแบบทดสอบ,บริษัท ซีเอ็ดยูเคชั่น จำกัด (มหาชน),2009,คอมพิวเตอร์และ การโปรแกรม,Computer and Programming,โครงสร้างและหน้าที่ของส่วนประกอบต่างๆ ของคอมพิวเตอร์ การปฏิสัมพันธ์ระหว่าง ฮาร์ดแวร์และซอฟต์แวร์ ลักษณะของตัวแปลภาษาการแก้ปัญหาด้วยโปรแกรมคอมพิวเตอร์ ขั้นตอนการ ออกแบบและพัฒนา โปรแกรมด้วยภาษาระดับสูง การสร้างและ การเรียกใช้ฟังก์ชัน การประมวลผล แฟ้มข้อมูล การทดสอบและ การแก้ไขข้อผิดพลาดในโปรแกรม,"Computer structure and components, hardware and software interaction; programming compiler and translator, problems solving by computer programming; process of designing and developing applications with high-level language programming;  creating and calling functions;data processing; testing and correcting error in program.",https://images-se-ed.com/ws/Storage/Originals/978974/212/9789742129491L.jpg
9786165888684,พื้นฐานการเขียนโปรแกรมและอัลกอริทึมภาษา C,ประยงค์ อู่ประสิทธิ์วงศ์,หนังสือเล่มนี้ใช้ภาษาซีล่าสุดคือ C18 และเครื่องมือเขียนโปรแกรม Dev-C++ ประกอบด้วยหลักพื้นฐานสำคัญต่างๆ ของภาษาซีที่ควรทราบ รวมถึงหลักการทำงานตามลำดับขั้นตอนในการเขียนโปรแกรมซึ่งเรียกว่าอัลกอริทีม ช่วยให้เกิดแนวคิดในการเขียนโปรแกรมที่เป็นไปอย่างมีประสิทธิภาพ เหมาะกับ ผู้เริ่มต้นที่สนใจและศึกษาด้วยตนเอง หรือต้องการทบทวนทำความเข้าใจให้มากยิ่งขึ้นในการเขียนโปรแกรมด้วยภาษาซี นอกจากนี้ในแต่ละบทยังมีแบบฝึกหัดทบทวน เพื่อให้ผู้เรียนได้ฝึกฝนทำความเข้าใจและเฉลยโจทย์ที่เกี่ยวกับ การแก้ไขปัญหา,บทที่ 1 วิทยาการคอมพิวเตอร์บทที่ 2 การเขียนโปรแกรมแก้ไขปัญหาบทที่ 3 ภาษาซีและโครงสร้างบทที่ 4 ชนิดข้อมูลและตัวดำเนินการบทที่ 5 การรับส่งค่าและแสดงผลบทที่ 6 การ ควบคุม ทำงานตัดสินใจบทที่ 7 การ ควบคุม ทำงานวนซ้ำบทที่ 8 พอยน์เตอร์และ อาร์เรย์ บทที่ 9 สตริงและสตรัคเจอร์บทที่ 10 ฟังก์ชันและไลบรารีบทที่ 11 ไฟล์,ประยงค์ อู่ประสิทธิ์วงศ์,2022,คอมพิวเตอร์และ การโปรแกรม,Computer and Programming,โครงสร้างและหน้าที่ของส่วนประกอบต่างๆ ของคอมพิวเตอร์ การปฏิสัมพันธ์ระหว่าง ฮาร์ดแวร์และซอฟต์แวร์ ลักษณะของตัวแปลภาษาการแก้ปัญหาด้วยโปรแกรมคอมพิวเตอร์ ขั้นตอนการ ออกแบบและพัฒนา โปรแกรมด้วยภาษาระดับสูง การสร้างและ การเรียกใช้ฟังก์ชัน การประมวลผล แฟ้มข้อมูล การทดสอบและ การแก้ไขข้อผิดพลาดในโปรแกรม,"Computer structure and components, hardware and software interaction; programming compiler and translator, problems solving by computer programming; process of designing and developing applications with high-level language programming;  creating and calling functions;data processing; testing and correcting error in program.",https://images-se-ed.com/ws/Storage/Originals/978616/588/9786165888684L.jpg
9786160842964,โครงสร้างข้อมูลกับภาษา C/C++,ผศ. อุหมาด หมัดอาด้ำ,"""โครงสร้างข้อมูลกับภาษา C/C++"" เล่มนี้ มีจุดประสงค์หลักเพื่อต้องการให้ผู้สนใจได้ศึกษาโครงสร้างข้อมูลแบบต่าง ๆ วิธีปฏิบัติการกับข้อมูลที่ถูกเก็บอยู่ในโครงสร้างข้อมูลแบบต่าง ๆ และตัวอย่างการเขียนโปรแกรมด้วยภาษาชี ซึ่งสามารถนำมาประยุกต์กับ การเขียนโปรแกรมเพื่อใช้งานต่อไปได้อย่างเหมาะสม เนื้อหาในเล่มประกอบด้วย โครงสร้างข้อมูลกับ การพัฒนา โปรแกรม โครงสร้างข้อมูลแบบกลุ่ม โครงสร้างข้อมูลแบบลิสต์ สแตก และคิวโครงสร้างข้อมูลแบบต้นไม้ โครงสร้างข้อมูลแบบกราฟ เอวีแอลทรี เซต การเรียงลำดับข้อมูล และ การค้นหาข้อมูล เหมาะสำหรับ นิสิต นักศึกษา ใช้ประกอบ การเรียนในรายวิชาโครงสร้างข้อมูล ซึ่งเป็นรายวิชาแกนของหลักสูตรทางด้านคอมพิวเตอร์ของทุกสถาบันการศึกษา",บทที่ 1 โครงสร้างข้อมูลกับ การพัฒนา โปรแกรมบทที่ 2 โครงสร้างข้อมูลแบบกลุ่มบทที่ 3 โครงสร้างข้อมูลแบบลิสต์บทที่ 4 สแตกและคิวบทที่ 5 โครงสร้างข้อมูลแบบต้นไม้ (Tree)บทที่ 6 เอวีแอลทรีและเซตบทที่ 7 โครงสร้างข้อมูลแบบกราฟ (Graph)บทที่ 8 การเรียงลำดับข้อมูลบทที่ 9 การค้นหาข้อมูล,บริษัท ซีเอ็ดยูเคชั่น จำกัด (มหาชน),2021,คอมพิวเตอร์และ การโปรแกรม,Computer and Programming,โครงสร้างและหน้าที่ของส่วนประกอบต่างๆ ของคอมพิวเตอร์ การปฏิสัมพันธ์ระหว่าง ฮาร์ดแวร์และซอฟต์แวร์ ลักษณะของตัวแปลภาษาการแก้ปัญหาด้วยโปรแกรมคอมพิวเตอร์ ขั้นตอนการ ออกแบบและพัฒนา โปรแกรมด้วยภาษาระดับสูง การสร้างและ การเรียกใช้ฟังก์ชัน การประมวลผล แฟ้มข้อมูล การทดสอบและ การแก้ไขข้อผิดพลาดในโปรแกรม,"Computer structure and components, hardware and software interaction; programming compiler and translator, problems solving by computer programming; process of designing and developing applications with high-level language programming;  creating and calling functions;data processing; testing and correcting error in program.",https://images-se-ed.com/ws/Storage/Originals/978616/084/9786160842964L.jpg
9786164872363,คู่มือ Coding ภาษา C ฉบับสมบูรณ์ (3rd Edition),"ผศ. สุดา เธียรมนตรี,ไกรศร ตั้งธนาโอภากุล,กิตินันท์ พลสวัสดิ์","หนังสือ ""คู่มือ Coding ภาษา C ฉบับสมบูรณ์ (3rd Edition)"" เล่มนี้ มีเนื้อหาครอบคลุมการเรียนการสอนภาษา C ในทุกระดับ การศึกษา ทั้งระดับมัธยมศึกษาและระดับอุดมศึกษา อธิบายตั้งแต่ระดับพื้นฐานหลักการเขียนโปรแกรม ภาษา C, การเขียน Flowchart, การพัฒนา ระบบงานที่สามารถใช้งานได้จริง ตลอดจนการประยุกต์ใช้ภาษา C กับ Arduino เนื้อหาในหนังสือมีการเรียบเรียงอย่างเป็นขั้นตอน จากอาจารย์ผู้สอนที่มีประสบการณ์การสอนมากกว่า 20 ปี มีตัวอย่างประกอบทุกหัวข้อ พร้อมคำอธิบายโค้ดโปรแกรมอย่างละเอียด เหมาะสำหรับ นักเรียน นักศึกษา ที่จะนำไปใช้ประกอบ การเรียนเขียนโปรแกรมภาษา C",บทที่ 1 รู้จักภาษา C กับ การพัฒนา โปรแกรมบทที่ 2 เตรียมความพร้อมก่อนเขียนโปรแกรมบทที่ 3 ตัวแปรและชนิดของข้อมูลบทที่ 4 นิพจน์และตัวดำเนินการ (Expressions and Operator)บทที่ 5 การแสดงผลและ การรับข้อมูลบทที่ 6  ควบคุม ทิศทางการทำงานของโปรแกรมด้วยคำสั่งตัดสินใจบทที่ 7  ควบคุม  การทำงานของโปรแกรมด้วยคำสั่งวนลูปบทที่ 8 การเขียน Flowchartบทที่ 9 ตัวแปร์ อาร์เรย์ บทที่ 10 พอยน์เตอร์,บริษัท ไอดีซี พรีเมียร์ จำกัด,2021,คอมพิวเตอร์และ การโปรแกรม,Computer and Programming,โครงสร้างและหน้าที่ของส่วนประกอบต่างๆ ของคอมพิวเตอร์ การปฏิสัมพันธ์ระหว่าง ฮาร์ดแวร์และซอฟต์แวร์ ลักษณะของตัวแปลภาษาการแก้ปัญหาด้วยโปรแกรมคอมพิวเตอร์ ขั้นตอนการ ออกแบบและพัฒนา โปรแกรมด้วยภาษาระดับสูง การสร้างและ การเรียกใช้ฟังก์ชัน การประมวลผล แฟ้มข้อมูล การทดสอบและ การแก้ไขข้อผิดพลาดในโปรแกรม,"Computer structure and components, hardware and software interaction; programming compiler and translator, problems solving by computer programming; process of designing and developing applications with high-level language programming;  creating and calling functions;data processing; testing and correcting error in program.",https://images-se-ed.com/ws/Storage/Originals/978616/487/9786164872363L.jpg
9786162626449,การเขียนโปรแกรมด้วยภาษา C,รศ. ธีรวัฒน์ ประกอบผล,ภาษาซี เป็นภาษาคอมพิวเตอร์ภาษาหนึ่งที่เหมาะสำหรับ ผู้เริ่มต้นเรียนรู้การเขียนโปรแกรมคอมพิวเตอร์ เนื่องจากเป็นภาษาที่มีโครงสร้างดี มีการพัฒนา มาอย่างต่อเนื่อง และมีการนำภาษานี้มาพัฒนา เป็นโปรแกรมต่าง ๆ เป็นจำนวนมาก ผู้เขียนได้เรียบเรียงตำราเล่มนี้สำหรับ ผู้ที่ยังไม่เคยเขียนโปรแกรมมาก่อน โดยเริ่มจากการออกแบบพัฒนา โปรแกรมอย่างง่าย จากนั้นจะแนะนำคำสั่งพื้นฐานต่าง ๆ และนำมาสร้างเป็นโปรแกรม พื้นฐานที่นักเขียนโปรแกรมจำเป็นต้องรู้ ซึ่งเนื้อหาในเล่มได้มีตัวอย่างง่าย ๆ หลาย ๆ ตัวอย่างให้ศึกษาทำความเข้าใจ ส่วนในบทท้าย ๆ จะอธิบายการเขียนโปรแกรมติดต่อกับแป้นพิมพ์และจอภาพ ทั้งโหมดตัวอักษรและโหมดกราฟิก การเรียกใช้พอยน์เตอร์ และจบด้วยการอธิบายภาษา C++ เพื่อให้ผู้ที่ศึกษาสามารถใช้เป็นพื้นฐานในการเขียนโปรแกรมขั้นสูงต่อไปได้,Chapter 1 ภาษาคอมพิวเตอร์และ การโปรแกรมChapter 2 ขั้นตอนการทำงาน AlgorithmChapter 3 โครงสร้างภาษาซีเบื้องต้นChapter 4 ประเภทของข้อมูล และตัวดำเนินการChapter 5 การเลือกทำตามเงื่อนไขChapter 6 โปรแกรมแบบวนรอบทำซ้ำChapter 7 การสร้างฟังก์ชันในภาษาซีChapter 8 ตัวแปรชนิด  อาร์เรย์  และสตริงChapter 9 ตัวแปรโครงสร้างและยูเนียนChapter 10 พอยน์เตอร์ในภาษาซี,สำนักพิมพ์ซิมพลิฟาย,2020,คอมพิวเตอร์และ การโปรแกรม,Computer and Programming,โครงสร้างและหน้าที่ของส่วนประกอบต่างๆ ของคอมพิวเตอร์ การปฏิสัมพันธ์ระหว่าง ฮาร์ดแวร์และซอฟต์แวร์ ลักษณะของตัวแปลภาษาการแก้ปัญหาด้วยโปรแกรมคอมพิวเตอร์ ขั้นตอนการ ออกแบบและพัฒนา โปรแกรมด้วยภาษาระดับสูง การสร้างและ การเรียกใช้ฟังก์ชัน การประมวลผล แฟ้มข้อมูล การทดสอบและ การแก้ไขข้อผิดพลาดในโปรแกรม,"Computer structure and components, hardware and software interaction; programming compiler and translator, problems solving by computer programming; process of designing and developing applications with high-level language programming;  creating and calling functions;data processing; testing and correcting error in program.",https://images-se-ed.com/ws/Storage/Originals/978616/262/9786162626449L.jpg
9786160839452,การเขียนโปรแกรมคอมพิวเตอร์ด้วยภาษาซี,ผศ. นราธร สังข์ประเสริฐ,หนังสือที่มีเนื้อหาครอบคลุมความรู้ตั้งแต่ในเรื่องขององค์ประกอบและระบบ คอมพิวเตอร์ หลักการออกแบบและ การแก้ปัญหาทางด้านโปรแกรม การเขียนโปรแกรม และ การประยุกต์ใช้โปรแกรมเชิงวิศวกรรมเพื่อแก้ปัญหาทางด้านวิทยาศาสตร์ รวมทั้งมีการยกตัวอย่างโจทย์โปรแกรมที่มีระดับความง่ายไปสู่ยาก และอีกทั้งยังมีงานวิจัยและสิ่งประดิษฐ์ที่ตรงกับกลุ่มนักศึกษาทุกกลุ่ม และเสริมบรรยายการทำงานของโปรแกรมด้วยเทคโนโลยี AR และ QR Code ที่ทำให้ผู้อ่าน สามารถเปิดจินตนาการสู่การเรียนรู้ไม่สิ้นสุด,Chapter 1 ความรู้เบื้องต้นเกี่ยวกับ คอมพิวเตอร์Chapter 2 ภาษาคอมพิวเตอร์และ การพัฒนา โปรแกรมChapter 3 เริ่มต้นเขียนโปรแกรมภาษาซีChapter 4 เงื่อนไขและ การตัดสินใจChapter 5 โครงสร้างการวนรอบChapter 6 การสร้างฟังก์ชันและ การใช้งานChapter 7 ตัวแปรชุดChapter 8 ตัวชี้Chapter 9 ตัวแปรโครงสร้างChapter 10 ตัวแปรเชิงวิศวกรรม,บริษัท ซีเอ็ดยูเคชั่น จำกัด (มหาชน),2020,คอมพิวเตอร์และ การโปรแกรม,Computer and Programming,โครงสร้างและหน้าที่ของส่วนประกอบต่างๆ ของคอมพิวเตอร์ การปฏิสัมพันธ์ระหว่าง ฮาร์ดแวร์และซอฟต์แวร์ ลักษณะของตัวแปลภาษาการแก้ปัญหาด้วยโปรแกรมคอมพิวเตอร์ ขั้นตอนการ ออกแบบและพัฒนา โปรแกรมด้วยภาษาระดับสูง การสร้างและ การเรียกใช้ฟังก์ชัน การประมวลผล แฟ้มข้อมูล การทดสอบและ การแก้ไขข้อผิดพลาดในโปรแกรม,"Computer structure and components, hardware and software interaction; programming compiler and translator, problems solving by computer programming; process of designing and developing applications with high-level language programming;  creating and calling functions;data processing; testing and correcting error in program.",https://images-se-ed.com/ws/Storage/Originals/978616/083/9786160839452L.jpg
9786162624896,คู่มือการเขียนโปรแกรมภาษา C ฉบับสมบูรณ์,รศ. ธีรวัฒน์ ประกอบผล,"คู่มือที่อธิบายพื้นฐานการเขียน ""ภาษา C"" เพื่อพัฒนา การเรียนรู้ไปสู่ ""C++ C#"" และ ""JAVA"" โดยนำเสนอเนื้อหาตั้งแต่อธิบายหลักการและแนวคิดการเขียนโปรแกรมแบบโครงสร้าง เขียนอัลกอริทึมด้วยผังงาน และซูโดโค้ด เข้าใจหลักการบันทึกลงไฟล์และอ่าน ไฟล์ การเขียนโปรแกรมให้ได้ผลลัพธ์แบบข้อความ กราฟิก และภาพเคลื่อนไหว รองรับ การใช้งาน ""Dev C++"" และ ""Turbo C++""",บทที่ 1 ภาษาคอมพิวเตอร์และ การโปรแกรมบทที่ 2 ขั้นตอนการทำงาน Algorithmบทที่ 3 โครงสร้างภาษาซีเบื้องต้นบทที่ 4 ประเภทของข้อมูล และตัวดำเนินการบทที่ 5 การเลือกทำตามเงื่อนไขบทที่ 6 โปรแกรมแบบวนรอบทำซ้ำบทที่ 7 การสร้างฟังก์ชันในภาษาซีบทที่ 8 ตัวแปรชนิด  อาร์เรย์  และสตริงบทที่ 9 ตัวแปรโครงสร้างและยูเนียนบทที่ 10 พอยน์เตอร์ในภาษาซี,สำนักพิมพ์ซิมพลิฟาย,2019,คอมพิวเตอร์และ การโปรแกรม,Computer and Programming,โครงสร้างและหน้าที่ของส่วนประกอบต่างๆ ของคอมพิวเตอร์ การปฏิสัมพันธ์ระหว่าง ฮาร์ดแวร์และซอฟต์แวร์ ลักษณะของตัวแปลภาษาการแก้ปัญหาด้วยโปรแกรมคอมพิวเตอร์ ขั้นตอนการ ออกแบบและพัฒนา โปรแกรมด้วยภาษาระดับสูง การสร้างและ การเรียกใช้ฟังก์ชัน การประมวลผล แฟ้มข้อมูล การทดสอบและ การแก้ไขข้อผิดพลาดในโปรแกรม,"Computer structure and components, hardware and software interaction; programming compiler and translator, problems solving by computer programming; process of designing and developing applications with high-level language programming;  creating and calling functions;data processing; testing and correcting error in program.",https://images-se-ed.com/ws/Storage/Originals/978616/262/9786162624896L.jpg
9786160827404,การเขียนโปรแกรมด้วยภาษา C,โอภาส เอี่ยมสิริวงศ์,"หนังสือ ""การเขียนโปรแกรมด้วยภาษา C"" ฉบับปรับปรุงเพิ่มเติมเล่มนี้ ได้รับ การเขียนและเรียบเรียงขึ้นมาสำหรับ นักศึกษาเพื่อนำไปใช้ประกอบ การเรียนในวิชาการเขียนโปรแกรมเบื้องต้น ซึ่งปัจจุบัน สถาบันการศึกษาหลายแห่งยังคงคัดเลือกภาษา C เป็นภาษาพื้นฐานในการฝึกเขียนโปรแกรมให้แก่บรรดานักศึกษา เนื่องจากเป็นภาษาที่มีโครงสร้างดี เหมาะสมกับ ผู้เริ่มต้น และยังทำให้ผู้ศึกษาไดเข้าใจถึงเทคนิคการโปรแกรมเชิงโครงสร้าง (Structured Procedural Programming Techniques) ซึ่งถือเป็นพื้นฐานสำคัญของการเขียนโปรแกรมระดับเบื้องต้นเป็นอย่างดี อีกทั้งหากมีความรู้ภาษา C เป็นทุนเดิมอยู่แล้ว จะนำไปสู่การเรียนรู้ภาษาอื่นๆ ได้อีกมากมาย เช่น C++, C#, Java และ PHP เนื่องจากภาษาเหล่านี้ล้วนตั้งอยู่บนรากฐานของภาษา C ทั้งสิ้น ภายในหนังสือเล่มนี้ได้รับ การออกแบบเนื้อหาให้เหมาะสมกับ ผู้เริ่มต้นเขียนโปรแกรม ผ่านการศึกษาจากตัวอย่างโปรแกรม ด้วยการเรียนรู้เทคนิคการเขียนโปรแกรมแบบท ขั้น และค่อยๆ เพิ่มความเข้มข้นของเนื้อหามากขึ้น จนกระทั่งไต่ระดับความรู้ถึงขั้นการจัดการแฟ้มข้อมูล ซึ่งสามารถนำไปประยุกต์ใช้กับงานจริงได้อย่างหลากหลาย อย่างไรก็ตาม ผู้เขียนขอเป็นกำลังใจแก่ผู้ศึกษา เพราะตระหนักดีว่า กว่าจะเขียนโปรแกรมได้นั้น เป็นสิ่งที่ไม่ง่ายเลยสำหรับใครบางคน ดังนั้น ความมุ่งมั่น อดทน และฝึกฝนอย่างสม่ำเสมอ จึงเป็นหนทางเดียวเท่านั้นที่จะพาให้ท่านสามารถเขียนโปรแกรมได้ และเขียนโปรแกรมเป็นในที่สุด","บทที่ 1 พื้นฐานภาษา C และ การติดตั้งใช้งาน (The Basic of C and Installation Guide)บทที่ 2 ตัวแปร ชนิดข้อมูล และตัวดำเนินการ (Variables, Data Types and Operator)บทที่ 3 การรับและแสดงผลข้อมูล (Data Input and Output)บทที่ 4 คำสั่ง ควบคุม  (Control-Flow Statement)บทที่ 5 ฟังก์ชันและพรีโปรเซสเซอร์ (Functions and The C Preprocessor)บทที่ 6 พอยน์เตอร์และ อาร์เรย์  (Pointers and Arrays)บทที่ 7 การจัดการข้อความสตริง (Manipulating Strings)บทที่ 8 ข้อมูลโครงสร้าง (Structuring Data)บทที่ 9 การจัดการแฟ้มข้อมูลในภาษา C (File Handling in C Language)",บริษัท ซีเอ็ดยูเคชั่น จำกัด (มหาชน),2016,คอมพิวเตอร์และ การโปรแกรม,Computer and Programming,โครงสร้างและหน้าที่ของส่วนประกอบต่างๆ ของคอมพิวเตอร์ การปฏิสัมพันธ์ระหว่าง ฮาร์ดแวร์และซอฟต์แวร์ ลักษณะของตัวแปลภาษาการแก้ปัญหาด้วยโปรแกรมคอมพิวเตอร์ ขั้นตอนการ ออกแบบและพัฒนา โปรแกรมด้วยภาษาระดับสูง การสร้างและ การเรียกใช้ฟังก์ชัน การประมวลผล แฟ้มข้อมูล การทดสอบและ การแก้ไขข้อผิดพลาดในโปรแกรม,"Computer structure and components, hardware and software interaction; programming compiler and translator, problems solving by computer programming; process of designing and developing applications with high-level language programming;  creating and calling functions;data processing; testing and correcting error in program.",https://images-se-ed.com/ws/Storage/Originals/978616/082/9786160827404L.jpg
